Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C204, C205, C209, C212, C213, C301, C304, C305, C309, C312, C313",0805,12,0.1uF,C49678
"C202, C203, C210, C211, C302, C303, C310, C311",0805,8,20pF,C105623
"C206, C207, C214, C215, C306, C307, C314, C315",0805,8,47pF,C107118
"C208, C216, C308, C316",0805,4,4700pF,C107153
"D201, D202, D203, D204, D301, D302, D303, D304",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,8,MMBZ27VCLT1G,C128609
H1,RPi_Hat_Mounting_Hole,1,H1,
H2,RPi_Hat_Mounting_Hole,1,H2,
H3,RPi_Hat_Mounting_Hole,1,H3,
H4,RPi_Hat_Mounting_Hole,1,H4,
"J101, J102, J103, J104",CONN-TH_DB125-2.54-3P-GN,4,DB125-2.54-3P-GN-S,C918121
"R201, R202, R203, R204, R301, R302, R303, R304",0805,8,60,C185283
SW101,SW-SMD_16P-P2.54_SMXMS-08K-TP,1,SW_DIP_x08,C5439774
U101,PinSocket_2x20_P2.54mm_Vertical,1,RASPBERRYPI4_GPIO_40,
"U201, U203, U301, U303",SOIC-14_3.9x8.7mm_P1.27mm,4,MCP2518FD,C626758
"U202, U204, U302, U304",SOIC-8_3.9x4.9mm_P1.27mm,4,MCP2562-E-SN,C124016
"Y201, Y202, Y301, Y302",CRYSTAL-SMD_4P-L5.0-W3.2-BL,4,20MHz,C112581
